Time,TimeDST,TimeUTC,total_site_electricity_kwh,net_site_electricity_kwh,electricity_heating_kwh,electricity_central_system_heating_kwh,electricity_cooling_kwh,electricity_central_system_cooling_kwh,electricity_interior_lighting_kwh,electricity_exterior_lighting_kwh,electricity_exterior_holiday_lighting_kwh,electricity_garage_lighting_kwh,electricity_interior_equipment_kwh,electricity_fans_heating_kwh,electricity_fans_cooling_kwh,electricity_pumps_heating_kwh,electricity_central_system_pumps_heating_kwh,electricity_pumps_cooling_kwh,electricity_central_system_pumps_cooling_kwh,electricity_water_systems_kwh,electricity_pv_kwh,total_site_natural_gas_therm,natural_gas_heating_therm,natural_gas_central_system_heating_therm,natural_gas_interior_equipment_therm,natural_gas_water_systems_therm,total_site_fuel_oil_mbtu,fuel_oil_heating_mbtu,fuel_oil_central_system_heating_mbtu,fuel_oil_interior_equipment_mbtu,fuel_oil_water_systems_mbtu,total_site_propane_mbtu,propane_heating_mbtu,propane_central_system_heating_mbtu,propane_interior_equipment_mbtu,propane_water_systems_mbtu,total_site_wood_mbtu,wood_heating_mbtu,total_site_energy_mbtu,net_site_energy_mbtu
2018/01/01 01:00:00,2018/01/01 01:00:00,2018/01/01 06:00:00,12.852506280908676,12.852506280908676,12.22983707071405,0.0,0.0,0.0,0.06771676742517392,0.01593407527765092,0.0,0.0,0.5390183674918015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04385453668749751,0.04385453668749751
2018/01/01 02:00:00,2018/01/01 02:00:00,2018/01/01 07:00:00,12.391183768364202,12.391183768364202,11.839152136992334,0.0,0.0,0.0,0.04063006045510448,0.009560445166590579,0.0,0.0,0.501841125750174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042280440195422514,0.042280440195422514
2018/01/01 03:00:00,2018/01/01 03:00:00,2018/01/01 08:00:00,12.916858077156382,12.916858077156382,12.388656661336483,0.0,0.0,0.0,0.027086706970069634,0.006373630111060381,0.0,0.0,0.4947410787387694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04407411395497906,0.04407411395497906
2018/01/01 04:00:00,2018/01/01 04:00:00,2018/01/01 09:00:00,13.68411440512478,13.68411440512478,13.131534211803134,0.0,0.0,0.0,0.027086706970069634,0.006373630111060381,0.0,0.0,0.5191198562405147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04669209912053276,0.04669209912053276
2018/01/01 05:00:00,2018/01/01 05:00:00,2018/01/01 10:00:00,12.872765733778316,12.872765733778316,12.377625593966805,0.0,0.0,0.0,0.030114322719614645,0.007086042399765076,0.0,0.0,0.4579397746921322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04392366475479594,0.04392366475479594
2018/01/01 06:00:00,2018/01/01 06:00:00,2018/01/01 11:00:00,13.097097630839729,13.097097630839729,12.500506839806365,0.0,0.0,0.0,0.08263016867876835,0.019443269045400783,0.0,0.0,0.49451735330919583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04468911634803649,0.04468911634803649
2018/01/01 07:00:00,2018/01/01 07:00:00,2018/01/01 12:00:00,13.104333498304221,13.104333498304221,12.255793050005686,0.0,0.0,0.0,0.19399282625306793,0.0456474284638034,0.0,0.0,0.6089001935816637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04471380613291205,0.04471380613291205
2018/01/01 08:00:00,2018/01/01 08:00:00,2018/01/01 13:00:00,14.108557133188924,14.108557133188924,12.071933127426972,0.0,0.0,0.0,0.2454929207008443,0.0577656439802744,0.0,0.0,0.6932058391239083,0.0,0.0,0.0,0.0,0.0,0.0,1.0401596019569261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048140356665232795,0.048140356665232795
2018/01/01 09:00:00,2018/01/01 09:00:00,2018/01/01 14:00:00,14.71338278285334,14.71338278285334,12.526313955644305,0.0,0.0,0.0,0.26089002544584855,0.061388655464629,0.0,0.0,0.5459692754677039,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050204105794237106,0.050204105794237106
2018/01/01 10:00:00,2018/01/01 10:00:00,2018/01/01 15:00:00,14.43975616233378,14.43975616233378,12.37197069143449,0.0,0.0,0.0,0.26817670215491884,0.06310324491744845,0.0,0.0,0.41768465299607055,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04927045375735184,0.04927045375735184
2018/01/01 11:00:00,2018/01/01 11:00:00,2018/01/01 16:00:00,14.892305138685556,14.892305138685556,12.35964227231989,0.0,0.0,0.0,0.2608851623041117,0.06138751114440424,0.0,0.0,0.8915693220862978,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05081461372526319,0.05081461372526319
2018/01/01 12:00:00,2018/01/01 12:00:00,2018/01/01 17:00:00,14.239858232121247,14.239858232121247,12.166606726984208,0.0,0.0,0.0,0.25078293154605774,0.059010408522828246,0.0,0.0,0.44463729423730075,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048588374252961156,0.048588374252961156
2018/01/01 13:00:00,2018/01/01 13:00:00,2018/01/01 18:00:00,14.59226995684873,14.59226995684873,12.523851362889474,0.0,0.0,0.0,0.24349139169525064,0.05729467474978401,0.0,0.0,0.4488116566833697,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04979085200892402,0.04979085200892402
2018/01/01 14:00:00,2018/01/01 14:00:00,2018/01/01 19:00:00,14.21888274208743,14.21888274208743,12.127012969291256,0.0,0.0,0.0,0.24134574915124504,0.05678979492289484,0.0,0.0,0.4749133578911801,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04851680296739854,0.04851680296739854
2018/01/01 15:00:00,2018/01/01 15:00:00,2018/01/01 20:00:00,14.598280308874081,14.598280308874081,12.446467637430544,0.0,0.0,0.0,0.24285408444896128,0.057144713344012714,0.0,0.0,0.5329930028197095,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04981136016489295,0.04981136016489295
2018/01/01 16:00:00,2018/01/01 16:00:00,2018/01/01 21:00:00,13.889632871644238,13.889632871644238,12.973846680306202,0.0,0.0,0.0,0.2547438979944785,0.059942442640244224,0.0,0.0,0.5429199162986038,0.0,0.0,0.0,0.0,0.0,0.0,0.05817993440470822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04739335667551437,0.04739335667551437
2018/01/01 17:00:00,2018/01/01 17:00:00,2018/01/01 22:00:00,13.789867983692385,13.789867983692385,12.719730000734184,0.0,0.0,0.0,0.29444718381283974,0.06928481335660942,0.0,0.0,0.7064059857887512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04705294502013884,0.04705294502013884
2018/01/01 18:00:00,2018/01/01 18:00:00,2018/01/01 23:00:00,14.926028022018375,14.926028022018375,12.546675416391363,0.0,0.0,0.0,0.38278970071923574,0.09007222492582093,0.0,0.0,1.1070541733763997,0.0,0.0,0.0,0.0,0.0,0.0,0.7994365066055538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05092968088741849,0.05092968088741849
2018/01/01 19:00:00,2018/01/01 19:00:00,2018/01/02 00:00:00,18.96472740416801,18.96472740416801,12.739169109240786,0.0,0.0,0.0,0.49655552320679613,0.11684186040116647,0.0,0.0,4.2933400404884114,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06471028416845673,0.06471028416845673
2018/01/01 20:00:00,2018/01/01 20:00:00,2018/01/02 01:00:00,20.395028418210867,20.395028418210867,12.913017998121537,0.0,0.0,0.0,0.5537636432282872,0.13030320130056164,0.0,0.0,5.479122704729625,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06959066990206889,0.06959066990206889
2018/01/01 21:00:00,2018/01/01 21:00:00,2018/01/02 02:00:00,18.218660306830984,18.218660306830984,12.635280123495745,0.0,0.0,0.0,0.5009080842905239,0.11786603858621232,0.0,0.0,3.645785189627653,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0621645996010738,0.0621645996010738
2018/01/01 22:00:00,2018/01/01 22:00:00,2018/01/02 03:00:00,17.847440198868387,17.847440198868387,12.67246137852012,0.0,0.0,0.0,0.387659888048815,0.09121820301184703,0.0,0.0,3.377279858456752,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060897945028964034,0.060897945028964034
2018/01/01 23:00:00,2018/01/01 23:00:00,2018/01/02 04:00:00,15.679251455519774,15.679251455519774,13.158763369939498,0.0,0.0,0.0,0.33332420008251795,0.07843275894476848,0.0,0.0,0.7899102557221352,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05349978386783381,0.05349978386783381
2018/01/02 00:00:00,2018/01/02 00:00:00,2018/01/02 05:00:00,15.532484526075917,15.532484526075917,13.635975814751067,0.0,0.0,0.0,0.1363765299275092,0.03209004175178499,0.0,0.0,0.6683776554264282,0.0,0.0,0.0,0.0,0.0,0.0,1.0596644842191303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05299899471814339,0.05299899471814339
2018/01/02 01:00:00,2018/01/02 01:00:00,2018/01/02 06:00:00,14.798189506908697,14.798189506908697,14.17552029671407,0.0,0.0,0.0,0.06771676742517392,0.01593407527765092,0.0,0.0,0.5390183674918015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05049347811665772,0.05049347811665772
2018/01/02 02:00:00,2018/01/02 02:00:00,2018/01/02 07:00:00,15.185466275688409,15.185466275688409,14.63343464431654,0.0,0.0,0.0,0.04063006045510448,0.009560445166590579,0.0,0.0,0.501841125750174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05181492024580053,0.05181492024580053
2018/01/02 03:00:00,2018/01/02 03:00:00,2018/01/02 08:00:00,15.341166181111703,15.341166181111703,14.777494785973454,0.0,0.0,0.0,0.027086706970069634,0.006373630111060381,0.0,0.0,0.530211058057117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05234618995035367,0.05234618995035367
2018/01/02 04:00:00,2018/01/02 04:00:00,2018/01/02 09:00:00,17.120821531357734,17.120821531357734,15.72477476072081,0.0,0.0,0.0,0.027086706970069634,0.006373630111060381,0.0,0.0,1.362586433555792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05841862120560204,0.05841862120560204
2018/01/02 05:00:00,2018/01/02 05:00:00,2018/01/02 10:00:00,17.065891010298238,17.065891010298238,14.78760635382694,0.0,0.0,0.0,0.030114322719614645,0.007086042399765076,0.0,0.0,1.4467783377776138,0.0,0.0,0.0,0.0,0.0,0.0,0.7943059535743068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05823119063770998,0.05823119063770998
2018/01/02 06:00:00,2018/01/02 06:00:00,2018/01/02 11:00:00,15.598502029946799,15.598502029946799,14.834930777734252,0.0,0.0,0.0,0.08263016867876835,0.019443269045400783,0.0,0.0,0.49451735330919583,0.0,0.0,0.0,0.0,0.0,0.0,0.16698046117918341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05322425561140769,0.05322425561140769
2018/01/02 07:00:00,2018/01/02 07:00:00,2018/01/02 12:00:00,16.925923697710378,16.925923697710378,14.75856237858099,0.0,0.0,0.0,0.19399282625306793,0.0456474284638034,0.0,0.0,0.6089001935816637,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057753602725222244,0.057753602725222244
2018/01/02 08:00:00,2018/01/02 08:00:00,2018/01/02 13:00:00,17.297667919327413,17.297667919327413,14.982382644691533,0.0,0.0,0.0,0.2454929207008443,0.0577656439802744,0.0,0.0,0.6932058391239083,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05902204564592213,0.05902204564592213
2018/01/02 09:00:00,2018/01/02 09:00:00,2018/01/02 14:00:00,16.971865206515563,16.971865206515563,14.784796379306528,0.0,0.0,0.0,0.26089002544584855,0.061388655464629,0.0,0.0,0.5459692754677039,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05791036153469808,0.05791036153469808
2018/01/02 10:00:00,2018/01/02 10:00:00,2018/01/02 15:00:00,16.12882439607991,16.12882439607991,14.247932360219604,0.0,0.0,0.0,0.26817670215491884,0.06310324491744845,0.0,0.0,0.41768465299607055,0.0,0.0,0.0,0.0,0.0,0.0,1.1319274357918654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05503378918824254,0.05503378918824254
2018/01/02 11:00:00,2018/01/02 11:00:00,2018/01/02 16:00:00,14.88259534732106,14.88259534732106,13.340010060820331,0.0,0.0,0.0,0.2608851623041117,0.06138751114440424,0.0,0.0,0.41660998753307715,0.0,0.0,0.0,0.0,0.0,0.0,0.8037026255191356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05078148256840433,0.05078148256840433
2018/01/02 12:00:00,2018/01/02 12:00:00,2018/01/02 17:00:00,14.529334683840736,14.529334683840736,12.753788367552998,0.0,0.0,0.0,0.25078293154605774,0.059010408522828246,0.0,0.0,0.44463729423730075,0.0,0.0,0.0,0.0,0.0,0.0,1.021115681981552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04957610811549629,0.04957610811549629
2018/01/02 13:00:00,2018/01/02 13:00:00,2018/01/02 18:00:00,13.149684868952436,13.149684868952436,12.042821288796551,0.0,0.0,0.0,0.24349139169525064,0.05729467474978401,0.0,0.0,0.4488116566833697,0.0,0.0,0.0,0.0,0.0,0.0,0.3572658570274828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044868551309024104,0.044868551309024104
2018/01/02 14:00:00,2018/01/02 14:00:00,2018/01/02 19:00:00,12.85967694410111,12.85967694410111,11.623284065588166,0.0,0.0,0.0,0.24134574915124504,0.05678979492289484,0.0,0.0,0.4749133578911801,0.0,0.0,0.0,0.0,0.0,0.0,0.46334397654762083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04387900398633971,0.04387900398633971
2018/01/02 15:00:00,2018/01/02 15:00:00,2018/01/02 20:00:00,12.142951735545628,12.142951735545628,11.309959934932944,0.0,0.0,0.0,0.24285408444896128,0.057144713344012714,0.0,0.0,0.5329930028197095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04143343801916802,0.04143343801916802
2018/01/02 16:00:00,2018/01/02 16:00:00,2018/01/02 21:00:00,12.691865373382536,12.691865373382536,11.834259116449209,0.0,0.0,0.0,0.2547438979944785,0.059942442640244224,0.0,0.0,0.5429199162986038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04330640759744738,0.04330640759744738
2018/01/02 17:00:00,2018/01/02 17:00:00,2018/01/02 22:00:00,12.646920048864828,12.646920048864828,11.576782065906627,0.0,0.0,0.0,0.29444718381283974,0.06928481335660942,0.0,0.0,0.7064059857887512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04315304790713381,0.04315304790713381
2018/01/02 18:00:00,2018/01/02 18:00:00,2018/01/02 23:00:00,13.943289227717218,13.943289227717218,11.601125084543192,0.0,0.0,0.0,0.38278970071923574,0.09007222492582093,0.0,0.0,0.9901763559504212,0.0,0.0,0.0,0.0,0.0,0.0,0.8791258615785477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04757643961548657,0.04757643961548657
2018/01/02 19:00:00,2018/01/02 19:00:00,2018/01/03 00:00:00,13.33279014677116,13.33279014677116,11.672764072833335,0.0,0.0,0.0,0.49655552320679613,0.11684186040116647,0.0,0.0,1.0466286903298618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045493331950890316,0.045493331950890316
2018/01/02 20:00:00,2018/01/02 20:00:00,2018/01/03 01:00:00,13.58555437320662,13.58555437320662,11.922964231729498,0.0,0.0,0.0,0.5537636432282872,0.13030320130056164,0.0,0.0,0.9785232969482724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0463557986013028,0.0463557986013028
2018/01/02 21:00:00,2018/01/02 21:00:00,2018/01/03 02:00:00,14.245038833710785,14.245038833710785,12.117572483602077,0.0,0.0,0.0,0.5009080842905239,0.11786603858621232,0.0,0.0,0.9755230259888653,0.0,0.0,0.0,0.0,0.0,0.0,0.5331692012431078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048606051185187925,0.048606051185187925
2018/01/02 22:00:00,2018/01/02 22:00:00,2018/01/03 03:00:00,14.27007159123595,14.27007159123595,12.399614538805741,0.0,0.0,0.0,0.387659888048815,0.09121820301184703,0.0,0.0,1.0381889554246544,0.0,0.0,0.0,0.0,0.0,0.0,0.3533900059448928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048691466430999336,0.048691466430999336
2018/01/02 23:00:00,2018/01/02 23:00:00,2018/01/03 04:00:00,16.884516405727467,16.884516405727467,12.125213844403085,0.0,0.0,0.0,0.33332420008251795,0.07843275894476848,0.0,0.0,3.2858655516833193,0.0,0.0,0.0,0.0,0.0,0.0,1.0616800506137736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05761231529336221,0.05761231529336221
2018/01/03 00:00:00,2018/01/03 00:00:00,2018/01/03 05:00:00,14.555267308902256,14.555267308902256,12.244469270294646,0.0,0.0,0.0,0.1363765299275092,0.03209004175178499,0.0,0.0,2.142331466928315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04966459383433642,0.04966459383433642
2018/01/03 01:00:00,2018/01/03 01:00:00,2018/01/03 06:00:00,13.383740657496215,13.383740657496215,12.761071447301589,0.0,0.0,0.0,0.06771676742517392,0.01593407527765092,0.0,0.0,0.5390183674918015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04566718217068423,0.04566718217068423
2018/01/03 02:00:00,2018/01/03 02:00:00,2018/01/03 07:00:00,13.532554542319248,13.532554542319248,12.98052291094738,0.0,0.0,0.0,0.04063006045510448,0.009560445166590579,0.0,0.0,0.501841125750174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046174955816457496,0.046174955816457496
2018/01/03 03:00:00,2018/01/03 03:00:00,2018/01/03 08:00:00,13.845516733667843,13.845516733667843,13.317315317847942,0.0,0.0,0.0,0.027086706970069634,0.006373630111060381,0.0,0.0,0.4947410787387694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04724282628485661,0.04724282628485661
2018/01/03 04:00:00,2018/01/03 04:00:00,2018/01/03 09:00:00,14.88234224203344,14.88234224203344,14.329762048711794,0.0,0.0,0.0,0.027086706970069634,0.006373630111060381,0.0,0.0,0.5191198562405147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050780618938005784,0.050780618938005784
2018/01/03 05:00:00,2018/01/03 05:00:00,2018/01/03 10:00:00,13.628917986760301,13.628917986760301,13.13377784694879,0.0,0.0,0.0,0.030114322719614645,0.007086042399765076,0.0,0.0,0.4579397746921322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04650376127410205,0.04650376127410205
2018/01/03 06:00:00,2018/01/03 06:00:00,2018/01/03 11:00:00,14.020377875212054,14.020377875212054,13.42378708417869,0.0,0.0,0.0,0.08263016867876835,0.019443269045400783,0.0,0.0,0.49451735330919583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047839476788615484,0.047839476788615484
2018/01/03 07:00:00,2018/01/03 07:00:00,2018/01/03 12:00:00,15.052030575477154,15.052030575477154,13.612129300172715,0.0,0.0,0.0,0.19399282625306793,0.0456474284638034,0.0,0.0,0.6089001935816637,0.0,0.0,0.0,0.0,0.0,0.0,0.5913608270059051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051359619102005045,0.051359619102005045
2018/01/03 08:00:00,2018/01/03 08:00:00,2018/01/03 13:00:00,14.617136429130285,14.617136429130285,13.620672025325257,0.0,0.0,0.0,0.2454929207008443,0.0577656439802744,0.0,0.0,0.6932058391239083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049875699866386645,0.049875699866386645
2018/01/03 09:00:00,2018/01/03 09:00:00,2018/01/03 14:00:00,14.194949156946345,14.194949156946345,13.326701200568165,0.0,0.0,0.0,0.26089002544584855,0.061388655464629,0.0,0.0,0.5459692754677039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0484351382504404,0.0484351382504404
2018/01/03 10:00:00,2018/01/03 10:00:00,2018/01/03 15:00:00,14.030783259381566,14.030783259381566,12.411092516868681,0.0,0.0,0.0,0.26817670215491884,0.06310324491744845,0.0,0.0,0.41768465299607055,0.0,0.0,0.0,0.0,0.0,0.0,0.8707261424444478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04787498140474528,0.04787498140474528
